Date,Open,High,Low,Close,Adj Close,Volume
2024-03-22,48.880001,51.000000,45.340000,46.000000,46.000000,15936700
2024-03-25,47.090000,61.939999,46.080002,59.799999,59.799999,24398800
2024-03-26,67.709999,74.900002,63.209999,65.110001,65.110001,35331000
2024-03-27,63.759998,63.759998,55.619999,57.750000,57.750000,18758300
2024-03-28,54.520000,55.299999,49.099998,49.320000,49.320000,12608100
2024-04-01,48.950001,49.279999,44.395000,45.970001,45.970001,12987900
2024-04-02,45.055000,51.349998,44.000000,50.450001,50.450001,9442900
2024-04-03,49.700001,51.240002,46.549999,46.990002,46.990002,4822900
2024-04-04,46.700001,48.430000,45.099998,45.779999,45.779999,4618400
2024-04-05,45.680000,48.290001,44.680000,47.560001,47.560001,2927000
2024-04-08,47.860001,49.180000,45.040001,46.150002,46.150002,2661500
2024-04-09,46.400002,47.490002,44.900002,45.000000,45.000000,2277300
2024-04-10,44.000000,44.598000,41.720001,42.090000,42.090000,4350100
2024-04-11,42.049999,46.349998,42.009998,44.529999,44.529999,4263000
2024-04-12,43.470001,43.860001,42.160000,42.270000,42.270000,2013400
2024-04-15,41.939999,42.099998,39.680000,40.000000,40.000000,3448500
2024-04-16,40.500000,42.139999,39.320000,41.139999,41.139999,1699000
2024-04-17,40.400002,40.605000,38.700001,39.169998,39.169998,2153800
2024-04-18,38.799999,42.130001,37.349998,41.720001,41.720001,2284100
2024-04-19,40.570000,43.830002,40.169998,40.880001,40.880001,2528100
2024-04-22,40.880001,42.570000,40.509998,42.040001,42.040001,1486400
2024-04-23,42.070000,44.060001,41.821999,42.820000,42.820000,1956500
2024-04-24,42.660000,43.970001,42.450001,43.150002,43.150002,1384000
2024-04-25,41.639999,42.639999,40.849998,42.450001,42.450001,1485800
2024-04-26,42.980000,46.199001,42.650002,45.430000,45.430000,2764200
2024-04-29,46.049999,48.880001,45.849998,46.279999,46.279999,2678300
2024-04-30,45.470001,46.755001,44.150002,44.439999,44.439999,1752900
2024-05-01,44.869999,47.700001,44.599998,45.880001,45.880001,1598100
2024-05-02,46.610001,49.639000,45.720001,47.700001,47.700001,2365000
2024-05-03,48.439999,48.700001,46.240002,46.639999,46.639999,1188300
2024-05-06,46.990002,49.869999,46.750000,48.270000,48.270000,2116700
2024-05-07,47.730000,50.330002,47.400002,49.400002,49.400002,6241700
2024-05-08,55.000000,55.160000,49.700001,51.400002,51.400002,13509300
2024-05-09,51.240002,51.250000,48.250000,50.110001,50.110001,3909100
2024-05-10,50.639999,54.750000,50.380001,53.529999,53.529999,4450800
2024-05-13,56.490002,61.209999,55.590000,58.189999,58.189999,8179400
2024-05-14,62.570000,64.500000,59.500000,62.340000,62.340000,7674000
2024-05-15,60.230000,60.930000,56.250000,59.630001,59.630001,4897600
2024-05-16,59.500000,60.459999,56.290001,56.380001,56.380001,3219400
2024-05-17,61.200001,66.150002,60.619999,62.040001,62.040001,15131400
2024-05-20,61.900002,62.000000,57.270000,61.220001,61.220001,5975200
2024-05-21,60.740002,62.459999,58.840000,59.310001,59.310001,2694000
2024-05-22,59.000000,60.450001,55.860001,56.689999,56.689999,3272300
2024-05-23,56.880001,57.259998,53.110001,54.160000,54.160000,3289600
2024-05-24,53.959999,56.000000,53.209999,54.720001,54.720001,2017700
2024-05-28,55.119999,59.275002,53.862999,58.490002,58.490002,3536900
2024-05-29,57.450001,58.630001,56.800999,57.639999,57.639999,1320000
2024-05-30,57.000000,59.490002,55.759998,56.299999,56.299999,1860500
2024-05-31,56.209999,57.520000,53.450001,54.240002,54.240002,2036800
2024-06-03,57.549999,58.639999,54.820000,55.799999,55.799999,2573100
2024-06-04,55.200001,55.400002,53.955002,54.500000,54.500000,1291000
2024-06-05,54.790001,60.240002,54.570999,60.070000,60.070000,3030000
2024-06-06,58.990002,63.570000,58.380001,63.459999,63.459999,3375200
2024-06-07,61.630001,63.799999,59.209999,59.799999,59.799999,3414000
2024-06-10,60.009998,61.380001,58.259998,59.630001,59.630001,1459100
2024-06-11,60.119999,62.049000,58.494999,61.549999,61.549999,2024100
2024-06-12,62.875000,69.589996,61.849998,65.930000,65.930000,6825700
2024-06-13,66.830002,69.042000,63.639999,63.959999,63.959999,2874500
2024-06-14,63.540001,64.940002,60.110001,60.939999,60.939999,2454900
2024-06-17,61.000000,61.130001,58.099998,60.349998,60.349998,2097100
2024-06-18,61.110001,61.639000,57.500000,60.209999,60.209999,2213100
2024-06-20,60.000000,60.099998,55.470001,57.419998,57.419998,3372100
2024-06-21,56.400002,57.650002,54.450001,57.299999,57.299999,4441000
2024-06-24,57.320000,58.889999,55.950001,56.480000,56.480000,1789200
2024-06-25,56.560001,61.570000,56.419998,61.380001,61.380001,2828500
2024-06-26,60.500000,63.880001,60.330002,63.610001,63.610001,3828400
2024-06-27,62.834000,64.699997,62.029999,63.580002,63.580002,1704800
2024-06-28,64.070000,65.820000,62.669998,63.889999,63.889999,1921900
2024-07-01,64.199997,66.690002,62.200001,66.589996,66.589996,3609100
2024-07-02,65.989998,73.519997,65.650002,73.510002,73.510002,6089600
2024-07-03,71.930000,73.972000,70.180000,73.620003,73.620003,2718100
2024-07-05,73.779999,76.199997,71.580002,72.970001,72.970001,2587200
2024-07-08,72.760002,74.115997,70.900002,72.809998,72.809998,2191100
2024-07-09,73.480003,76.739998,69.199997,70.589996,70.589996,2879900
2024-07-10,71.230003,72.279999,67.620003,69.400002,69.400002,2156100
2024-07-11,70.500000,71.890999,68.328003,70.290001,70.290001,2170300
2024-07-12,70.750000,76.730003,69.400002,73.849998,73.849998,3512600
2024-07-15,74.690002,78.080002,72.530998,72.980003,72.980003,2782800
2024-07-16,70.669998,70.690002,66.769997,70.440002,70.440002,4589300
2024-07-17,68.480003,69.790001,63.790001,65.209999,65.209999,3319000
2024-07-18,66.739998,66.739998,63.938000,65.919998,65.919998,2064100
2024-07-19,65.750000,68.269997,64.500000,64.699997,64.699997,1997300
2024-07-22,66.930000,70.459999,65.544998,68.129997,68.129997,3644800
2024-07-23,67.800003,71.410004,67.010002,67.839996,67.839996,2486500
2024-07-24,65.665001,66.300003,62.181000,62.950001,62.950001,2869100
2024-07-25,62.900002,64.360001,59.730000,62.060001,62.060001,2644500
2024-07-26,62.900002,64.320000,61.230000,62.360001,62.360001,2044300
2024-07-29,62.970001,62.980000,58.720001,59.980000,59.980000,2202900
2024-07-30,60.060001,60.590000,57.360001,58.439999,58.439999,2211200
2024-07-31,59.380001,61.270000,59.310001,60.849998,60.849998,1652100
2024-08-01,64.400002,64.639999,59.200001,59.380001,59.380001,2520400
2024-08-02,56.240002,57.810001,54.110001,57.580002,57.580002,3254200
2024-08-05,53.250000,59.130001,52.759998,56.810001,56.810001,3078900
2024-08-06,58.099998,58.500000,54.340000,54.360001,54.360001,6498300
2024-08-07,54.799999,55.240002,49.130001,50.689999,50.689999,7772200
2024-08-08,51.950001,57.742001,51.759998,54.939999,54.939999,5653300
2024-08-09,53.970001,54.110001,51.500000,52.910000,52.910000,14509800
2024-08-12,52.500000,52.970001,50.799999,52.509998,52.509998,3398000
2024-08-13,53.049999,54.689999,52.540001,54.520000,54.520000,3967800
2024-08-14,53.700001,55.029999,53.200001,54.950001,54.950001,3874000
2024-08-15,55.250000,56.849998,54.180000,55.549999,55.549999,4841800
2024-08-16,54.869999,55.139999,53.900002,54.919998,54.919998,3005700
2024-08-19,54.790001,54.900002,52.490002,54.360001,54.360001,4487400
2024-08-20,53.500000,55.060001,52.389999,55.020000,55.020000,4206300
2024-08-21,54.880001,57.110001,54.270000,56.889999,56.889999,4179400
2024-08-22,56.500000,57.450001,55.299999,56.430000,56.430000,3939000
2024-08-23,56.509998,59.680000,56.130001,59.209999,59.209999,5280000
2024-08-26,59.290001,59.980000,57.509998,58.293201,58.293201,1225535
